Portfolio_ID,Asset_Name,Quantity,Market_Value,NAV,Asset_Type,Risk_Level,Sector
P001,Apple,50,7500,150,Equity,Medium,Technology
P002,Google,10,28000,2800,Equity,Medium,Technology
P003,Amazon,5,15000,3000,Equity,High,Consumer
P004,Tesla,20,18000,900,Equity,High,Automotive
P005,Microsoft,15,4500,300,Equity,Low,Technology
P006,Nvidia,8,9600,1200,Equity,High,Technology
P007,Meta,12,7200,600,Equity,Medium,Technology
P008,Netflix,6,3600,600,Equity,Medium,Entertainment
P009,Adobe,4,2000,500,Equity,Low,Technology
P010,Intel,25,5000,200,Equity,Low,Technology
P011,US_Treasury_10Y,100,10000,100,Bond,Low,Government
P012,Corporate_Bond_AAA,80,8000,100,Bond,Low,Finance
P013,Corporate_Bond_BBB,60,6000,100,Bond,Medium,Finance
P014,Gold_ETF,30,9000,300,Equity,Low,Commodities
P015,Oil_ETF,40,8000,200,Equity,High,Energy
P016,Apple,60,9000,150,Equity,Medium,Technology
P017,Google,12,33600,2800,Equity,Medium,Technology
P018,Amazon,7,21000,3000,Equity,High,Consumer
P019,Tesla,25,22500,900,Equity,High,Automotive
P020,Microsoft,18,5400,300,Equity,Low,Technology
P021,Nvidia,10,12000,1200,Equity,High,Technology
P022,Meta,15,9000,600,Equity,Medium,Technology
P023,Netflix,8,4800,600,Equity,Medium,Entertainment
P024,Adobe,6,3000,500,Equity,Low,Technology
P025,Intel,30,6000,200,Equity,Low,Technology
P026,US_Treasury_10Y,120,12000,100,Bond,Low,Government
P027,Corporate_Bond_AAA,90,9000,100,Bond,Low,Finance
P028,Corporate_Bond_BBB,70,7000,100,Bond,Medium,Finance
P029,Gold_ETF,35,10500,300,Equity,Low,Commodities
P030,Oil_ETF,45,9000,200,Equity,High,Energy
P031,Apple,70,10500,150,Equity,Medium,Technology
P032,Google,15,42000,2800,Equity,Medium,Technology
P033,Amazon,9,27000,3000,Equity,High,Consumer
P034,Tesla,30,27000,900,Equity,High,Automotive
P035,Microsoft,20,6000,300,Equity,Low,Technology
P036,Nvidia,12,14400,1200,Equity,High,Technology
P037,Meta,18,10800,600,Equity,Medium,Technology
P038,Netflix,10,6000,600,Equity,Medium,Entertainment
P039,Adobe,8,4000,500,Equity,Low,Technology
P040,Intel,35,7000,200,Equity,Low,Technology
P041,US_Treasury_10Y,140,14000,100,Bond,Low,Government
P042,Corporate_Bond_AAA,100,10000,100,Bond,Low,Finance
P043,Corporate_Bond_BBB,80,8000,100,Bond,Medium,Finance
P044,Gold_ETF,40,12000,300,Equity,Low,Commodities
P045,Oil_ETF,50,10000,200,Equity,High,Energy
P046,Apple,80,12000,150,Equity,Medium,Technology
P047,Google,18,50400,2800,Equity,Medium,Technology
P048,Amazon,10,30000,3000,Equity,High,Consumer
P049,Tesla,35,31500,900,Equity,High,Automotive
P050,Microsoft,25,7500,300,Equity,Low,Technology
P051,Nvidia,15,18000,1200,Equity,High,Technology
P052,Meta,20,12000,600,Equity,Medium,Technology
P053,Netflix,12,7200,600,Equity,Medium,Entertainment
P054,Adobe,10,5000,500,Equity,Low,Technology
P055,Intel,40,8000,200,Equity,Low,Technology
P056,US_Treasury_10Y,160,16000,100,Bond,Low,Government
P057,Corporate_Bond_AAA,120,12000,100,Bond,Low,Finance
P058,Corporate_Bond_BBB,90,9000,100,Bond,Medium,Finance
P059,Gold_ETF,45,13500,300,Equity,Low,Commodities
P060,Oil_ETF,55,11000,200,Equity,High,Energy
P061,Apple,90,13500,150,Equity,Medium,Technology
P062,Google,20,56000,2800,Equity,Medium,Technology
P063,Amazon,12,36000,3000,Equity,High,Consumer
P064,Tesla,40,36000,900,Equity,High,Automotive
P065,Microsoft,30,9000,300,Equity,Low,Technology
P066,Nvidia,18,21600,1200,Equity,High,Technology
P067,Meta,22,13200,600,Equity,Medium,Technology
P068,Netflix,14,8400,600,Equity,Medium,Entertainment
P069,Adobe,12,6000,500,Equity,Low,Technology
P070,Intel,45,9000,200,Equity,Low,Technology
P071,US_Treasury_10Y,180,18000,100,Bond,Low,Government
P072,Corporate_Bond_AAA,140,14000,100,Bond,Low,Finance
P073,Corporate_Bond_BBB,100,10000,100,Bond,Medium,Finance
P074,Gold_ETF,50,15000,300,Equity,Low,Commodities
P075,Oil_ETF,60,12000,200,Equity,High,Energy
P076,Apple,100,15000,150,Equity,Medium,Technology
P077,Google,22,61600,2800,Equity,Medium,Technology
P078,Amazon,15,45000,3000,Equity,High,Consumer
P079,Tesla,45,40500,900,Equity,High,Automotive
P080,Microsoft,35,10500,300,Equity,Low,Technology
P081,Nvidia,20,24000,1200,Equity,High,Technology
P082,Meta,25,15000,600,Equity,Medium,Technology
P083,Netflix,16,9600,600,Equity,Medium,Entertainment
P084,Adobe,14,7000,500,Equity,Low,Technology
P085,Intel,50,10000,200,Equity,Low,Technology
P086,US_Treasury_10Y,200,20000,100,Bond,Low,Government
P087,Corporate_Bond_AAA,160,16000,100,Bond,Low,Finance
P088,Corporate_Bond_BBB,120,12000,100,Bond,Medium,Finance
P089,Gold_ETF,55,16500,300,Equity,Low,Commodities
P090,Oil_ETF,65,13000,200,Equity,High,Energy
P091,Apple,110,16500,150,Equity,Medium,Technology
P092,Google,25,70000,2800,Equity,Medium,Technology
P093,Amazon,18,54000,3000,Equity,High,Consumer
P094,Tesla,50,45000,900,Equity,High,Automotive
P095,Microsoft,40,12000,300,Equity,Low,Technology
P096,Nvidia,25,30000,1200,Equity,High,Technology
P097,Meta,28,16800,600,Equity,Medium,Technology
P098,Netflix,18,10800,600,Equity,Medium,Entertainment
P099,Adobe,16,8000,500,Equity,Low,Technology
P100,Intel,55,11000,200,Equity,Low,Technology